id,nombre,foot
7dbzcwyph2xoljyhaogjo7mcp,T. Adams,right
8mcf8c8ht32as6xxrf1gb51m2,A. Adli,left
96ou7x51dxymv16l0ocsuhbyt,D. Brooks,left
cr4c6htcw2jewsvboj6s8p045,R. Christie,left
djelmk2oafas355n2u0d1bumt,L. Cook,right
7c0b5fz3m1uw0fwpm051e6rfu,B. Diakité,right
2wl0uylmkzi2ls7v4amgaa1yi,Evanilson,both
5fn9m086q3b5kdgt055bol638,B. Gannon-Doak,right
9ea8t509bssf2bhp1n5xxvrl6,J. Hill,right
clbsrtzkf61e6vx28ou5lbx90,Álex Jiménez,right
5qgc6zjc38a5xjl35gs7h3vu1,J. Kluivert,both
3f2e9orrwiljklmmzwh2m7uvo,J. Kroupi,right
aje7rfhp2kmdys3ht82xbx4wk,V. Milosavljević,right
bcfzovs0pj9urgv9r0ykjnlrd,Đ. Petrović,right
db59xs6wi27mder57ocnlidjo,Rayan,left
mfsus6ryni5b1hjn0y70sbo4,A. Scott,right
7tnuxlg9l4rjhc7j3ko36hduy,A. Semenyo,right
95pzsjfh0wf6isp6qpf9lddyh,M. Senesi,left
80bmtj7l07ohb2h475w955n9,A. Smith,right
erge77vege2a3zor041ert5w4,J. Soler,left
b3gobhr43y8oxpafvp4f8rgmh,M. Tavernier,left
ctq9si3nbc6n8cznhlcvtixd6,H. Traoré,left
92qqdiryqd8juqdjq8585476y,A. Truffert,left
9s97wjlj2f6cihmrgvymof1n8,A. Tóth,right
a27jmusots4qlgmc8yrecv02c,B. Winterburn,left
b64p21hmhsqgrn6n04mk00zpx,E. Ünal,right
dhs8pujk55ewcis7y5alchu22,R. Calafiori,left
61psw0tgtithfb7knevi50xec,M. Dowman,left
4wic6z72nwmhkheme209fcmp5,E. Eze,right
d66tmyj9pt69gub8pcjgo3bh1,Gabriel Jesus,right
8libvn3hxypz8x7gm4mr7kj55,Gabriel Magalhães,left
7ocm7nugzwos59il1pm4eub8q,Gabriel Martinelli,right
73xu8dfkmgivh8l71hkqfe6sp,V. Gyökeres,right
ed20ebhqi5c32vbbsze8r6yuh,K. Havertz,left
4foax2b7unlkev1eq6py86lii,P. Hincapié,left
azt1lhru9cgyb64h4h4fffrx0,M. Lewis-Skelly,left
e3il1t1s5lrn4g8t85fcm40oa,N. Madueke,left
